ia_circular	ia-premium-financing-circular-20260820	保监局发通函：保费融资上半年占新造业务保费约36% 要求险企检讨产品与风控
insuranceasia	insuranceasia-hk-insurers-slide-tax-20260813	InsuranceAsia：友邦保诚因征税传闻重挫后 分析师称市场反应过度 MCV敞口仅占新业务价值两成
bambooworks	bambooworks-tax-edge-20260813	Bamboo Works：内地客2024年贡献港险新单628亿港元 征税常态化才是真正考验
boclife	boclife-deloitte-hnw-succession-20260813	中银人寿与Deloitte Private启动高净值客户财富传承合作 联合推出《财富之光，照亮世代》手册
scmp	scmp-hsbc-insurance-reshuffle-20260812	汇丰重组保险部门：全球保险业务CEO离任 曾翠琼、张凯即任联席CEO
insuranceasia	picc-tan-jiong-chairman-20260812	中国人保委任谭炯为执行董事兼董事长 待股东会及金融监管总局核准
insuranceasia	typhoon-dolphin-178m-20260812	台风「白海豚」五地接报案近10万件 估损12亿元 平安预估赔付超9600万美元
scmp	scmp-hk-property-tax-net-20260812	内地拓宽境外征税网 香港楼市复苏面临新风险 保险放缓亦拖累写字楼需求
bjnews	nfra-natcat-claims-20260812	金融监管总局：近期重大自然灾害保险业累计已赔付76亿元
toutiao	gx-broker-name-compliance-20260812	广西金融监管局：严查违规使用「保险代理」「保险经纪」字样经营主体
toutiao	toutiao-husao-tax-mechanics-20260811	港险征税再拆解：征的是「收益」不是保单价值 预缴保费利息纳入范围
toutiao	toutiao-irr-cap-enforcement-20260811	监管重拳后赴港投保降温：分红演示设6%/6.5%上限 廉署联手整治无牌转介与返佣
21jingji	21jingji-hk-tax-framework-20260811	税务总局回应港险征税：非新政策非针对保险 律师拆解退保/分红/理赔三种税务处理
toutiao	toutiao-participating-1trillion-20260811	内地分红险半年保费破万亿 同比增94.4% 占比首破35%
insurancebusinessmag	ib-swissre-natcat-h1-2026	瑞士再保险研究院：H1全球巨灾保险损失420亿美元 六年低位难掩风险上行
guandian	hk-tax-prop-trading-20260811	港据报拟将自营交易公司纳入税务改革 附带权益优惠或扩围 财库局称不限特定管理者
toutiao	toutiao-crs-tax-timeline-20260811	港险征税拆解：CRS 2.0今年生效2027年首次信息交换 合规评估窗口期明确
insuranceasia	ia-mitti-rebrand-20260811	澳洲保险科技独角兽SafetyCulture更名Mitti 携AI风控进军美国市场
insuranceasia	ia-asia-wealth-transfer-20260811	亚洲财富传承潮：宏利新加坡3.84亿美元巨额寿险保单刷新纪录
insurancebusinessmag	ib-typhoon-dolphin-20260811	台风「白海豚」登陆浙江玉环 中国菲律宾多险种同时触发赔付累积
insuranceasia	ia-aon-wars-tighten-20260811	Aon：商险费率续降 战争风险推动海空能源核保趋严
insuranceasia	ia-china-tax-sales-20260811	港险征税后续：20%个税令收益差收窄 友邦保诚股价续跌
insuranceasia	ia-trade-disruption-demand-20260811	GlobalData调查：41%企业预期供应链中断险需求增长最猛
insuranceasia	ia-japan-unwind-stakes-20260811	日本非寿险巨头加速减持战略持股 监管问责驱动资本重置
oncc	oncc-hsbc-aia-tp-20260810	滙豐研究削友邦目标价近9%至74元 忧内地访客业务受结构性影响
stcn	stcn-netmarketing-20260810	金融产品网络营销新规9月底实施 监管摸排「租号」乱象 港险黑灰产链条被点名
insurancebusinessmag	ib-openai-cyber-20260810	OpenAI暂停新模型研发 网络险承保人：AI威胁从预期变成现实
insuranceasia	ia-ai-datacenter-risks-20260810	专家意见：AI或使全球数据中心用电2030年前近翻三倍 险企须重估敞口
aastocks	cmbi-mcv-downside-20260810	招银国际：内地访客新保单销售存下行风险 长期需求仍有增长空间
insuranceasia	hk-retirement-family-202608	调查：五分一港人期望子女资助退休及护理费
insuranceasia	ia-sompo-life-re-bermuda-20260810	损保生命再保推百慕大平台 携手Agam Capital深化资产负债管理
insurancebusinessmag	ib-bhsi-macau-20260810	伯克希尔旗下BHSI进军澳门 再保部门Q2承保改善
insurancebusinessmag	ib-soft-market-fraying-20260810	Aon全球商险季报：费率续跌 车险/责任险/D&O显软周期裂痕
hkma	hkma-dfsa-climate-conf-20260810	金管局与迪拜金管局合办第三届气候金融会议 9月10日香港举行
insuranceasia	mox-travel-cover-202607	Mox Bank 推全年无限次旅行保险：投保、理赔全透过手机 App 完成
insurancebusinessmag	ib-sk-ai-datacenter-20260808	韩国拟建18.4GW AI数据中心 险企承保能力与定价承压
insurancebusinessmag	ib-sk-nonclaim-clinics-20260808	韩国「零理赔」诊所两年增25% 医责险核保数据盲区扩大
insurancebusinessmag	ib-dando-rates-20260808	D&O费率2025年跌6.8%后现「见底」迹象 续保策略转向扩保障
insuranceasia	qbe-asia-leadership-202608	QBE 重整亚洲管理层：两名香港高层任命
govhk	lee-crossborder-insurance-202608	李家超：促进香港与内地保险市场互联互通，鼓励跨境养老医疗产品
hkma	hkma-hkmca-boclife-annuity	香港年金公司与中银人寿达成策略合作 指定中介可转介「香港年金计划」
scmp	scmp-beijing-tax-not-new-aug07	SCMP：北京称境外保单20%征税并非新政策 且不针对香港
insuranceasia	sunlife-asia-q2-2026	永明亚洲Q2净利润+153%至1.44亿美元 香港销售动能与在岸业务成主引擎
munichre	munichre-h1-2026-record	慕再 2026 上半年创纪录净利近 40 亿欧元：全年目标 63 亿不变
ziyu	ziyu-aia-api-20260807	资遇保险经纪携手友邦率先对接 API：全港首家经纪行直连
insuranceasia	manulife-asia-q2-2026	宏利亚洲次季股东应占净利+28%至7.68亿美元 APE+21%至15亿美元
insurancebusinessmag	thailand-life-digital-channel-aug07	泰国寿险数字化直营渠道逼近代理人 监管改革同步推进
insurancebusinessmag	axa-xl-srm-cyber-aug07	AXA XL收购网络安全咨询公司S-RM剩余股份 整合网络险供应商面板
insurancebusinessmag	zurich-apac-h1-2026	苏黎世亚太上半年经营利润+15%至3.48亿美元 香港投连险成增长引擎
insurancebusinessmag	swissre-pnc-h1-2026	瑞再财险再保上半年综合成本率76.7% 年中续转定价缺口扩大
interface	ia-tax-response-aug06	香港保监局回应「港险收益征税」：正密切注意内地税务安排新进展 吁勿过度解读
scmp	scmp-levy-next-steps-aug06	港险股消化征税报道后市场聚焦北京下一步 高盛指利润冲击或有限
sunlife	sunlife-mpf-concentration-aug06	永明：17.4%强积金成员投资过度集中 近四成50岁以上面临退休风险
manulife	manulife-q2-2026-hk-ape37	宏利金融次季核心盈利+12% 港澳APE+37% 新业务价值21亿港元+12%
swissre	swissre-h1-2026-results	瑞再 2026 上半年净利 +9% 至 28 亿美元：全年目标 45 亿不变
caixin	hk-policy-tax-selloff-aug06	征税20%发酵：香港保险股集体重挫 友邦一度跌9% 大行称抛售过度
insuranceasia	prudential-cuts-china-risk-aug06	保诚削减中国风险敞口 面临利润率挤压 参与型产品占前五大产品保费80%
insuranceasia	howden-cancer-cover-aug06	Howden推癌症保障 为阿斯利康员工及父母即时承保 保司倾向避开单独销售
insuranceasia	hsbc-h1-insurance-sales-26pct	汇丰保险香港上半年保费+26% 存量银行客户贡献85%新单
caixin	china-hk-policy-tax-aug05	内地开始对香港保单收益征20%个税：北京杭州已执行 保诚领跌
insurancebusinessmag	beazley-h1-profits-halve-aug05	Beazley上半年税前利润腰斩53% 网络险费率连跌12季 苏黎世收购推进中
nfra	nfra-audit-liability-aug05	金融监管总局：新修订《会计师事务所职业责任保险实施办法》拟近期印发 费率与合规记录挂钩
insurancebusinessmag	korea-health-gap-brokers-aug05	韩国健康险三重压力：公共医保财政悬崖+补偿险亏损1.87万亿韩元+佣金分期改革
boclife	boclife-ai-cohort-2026	中银人寿加入保监局 AI 促进计划：深化负责任的 AI 应用
insuranceasia	maybank-etiqa-202608	马银行 12 亿美元收购 Etiqa 全部控制权：东南亚保险整合加速
insuranceasia	jefferies-hk-sales-soar-aug05	Jefferies：港险Q1新单保费+51%创新高 银保+48%经纪+60% MCV到访年累计破2000万
insuranceasia	etiqa-index-endowment-aug05	Etiqa新加坡推指数挂钩储蓄计划：挂钩Barclays动态指数 到期保本加0%下限
insuranceasia	cupi-am-best-profits-aug05	AM Best：中华联合财险盈利依赖投资收益 承保接近盈亏平衡
insuranceasia	apac-natcat-h1-2026-aug05	Munich Re：亚太上半年巨灾损失远低于均值 中国5月洪灾损失28亿美元大部分无保险
insuranceasia	aon-indonesia-ceo-aug04	Aon委任Stephen出任印尼业务CEO 前Zurich印尼首席核保官
insurancebusinessmag	moodys-ai-distribution-aug04	Moody's：零售财险分销是全金融业最受AI冲击环节 限期12-18个月
insuranceasia	product-rename-2026-wave	港险产品更名潮：友邦/保诚/中银集中加「保险」字样，2027 年存量全合规
insuranceasia	taihe-9w-policies-202608	泰禾人寿接管两周年：9 万张保单继续生效，184 年首例的监管样本
qqnews	hk-plan-rename-aug04	港险产品集中更名：保诚20款产品8月24日启用新名 友邦中银人寿跟进
insuranceasia	sg-captive-pcc-aug04	新加坡拟推保护型细胞公司框架 专属自保保险向中型企业开放
insuranceasia	msig-cyber-sme-aug04	MSIG为中小企业增网安保障 保单捆绑威胁监测与应急响应
hkma	hkma-sme-credit-aug03	HKMA：Q2中小企业信贷状况总体稳定 78%认为审批取态相近或更易
aastocks	goldman-aia-1h26-aug03	高盛维持友邦「买入」：料上半年NBV+15%至32.54亿美元
prudential	prudential-eason-brand-aug03	保诚推全新品牌企划「诚诺，实现您心」 陈奕迅任品牌代言人
insuranceasia	cyber-insurer-profit-aug03	AM Best/S&P：网安险2025全球保费破160亿美元 费率下行考验盈利
gmteight	ia-mcv-definition-aug03	保监局拟重定义「内地访客」：非内地永久居民或可免赴港投保
insuranceasia	jefferies-hk-channels-aug03	Jefferies：港险Q1新单保费+47% 保单件数仅+2% 件均保费+45%
insuranceasia	aia-crossborder-care-aug03	AIA新加坡扩跨境医疗：马来就医免预付 34%担忧医疗开支
insuranceasia	fwd-cancer-claims-202608	富卫新增癌症重复理赔保障：港癌患者 5 年存活率达 61%
insuranceasia	mainland-insurers-tsimshatsui-202608	内地保险及财富管理公司入驻带动尖沙咀写字楼空置率降至 6.7％
insuranceasia	msig-claims-ratio-202608	MSIG 香港理赔率升至 94.7%：2025 年赔付 3.59 亿港元
govhk	fstb-captive-blog-202608	财库局：香港专属自保公司增至 9 间，风险管理市场持续扩容
yahoofinance	hsbc-ai-claims-5min	汇丰人寿投 2,000 万美元布局 AI：理赔支付时间缩短至 5 分钟
hkfi	hkfi-ci-standardization-202609	危疾定义标准化：《最佳行业准则》2026/9/1 起适用新险种
insuranceasia	jll-tsim-vacancy-aug01	内地保司租务推动尖沙咀甲级写字楼空置率降至6.7%
hkma	hkma-monetary-stats-jun26	HKMA公布6月货币统计：港元货币供应与贷款趋势
rga	rga-hk-outlook-2026	RGA：2026年港险市场展望——跨境需求+监管转型+数字创新三重驱动
nfra	nfra-governance-20260731	金融监管总局等四部门联合发布金融机构治理实施意见
state-council	overseas-invest-reg-20260731	个人境外投资新规7月1日施行：内地居民赴港投保正式纳入统一监管框架。
hkma	mof-rmb-bonds-cmu-jul30	财政部在CMU发行人民币国债 巩固香港离岸人民币枢纽
hkma	hkma-fed-response-jul30	HKMA回应美联储利率决议：维持联系汇率稳定
nfra	nfra-midyear-20260730	金融监管总局 2026 年中工作会议：持续推进「报行合一」和预定利率调整
yahoofinance	clio-h1-2026-ops	国寿海外 2026 H1：总保费 295.7 亿港元，穆迪 A1 展望上调至稳定
insuranceasia	ia-commission-caps-jul30	CreditSights：香港寿险新规重塑竞争格局 渠道强者受益
msig	msig-claims-947-jul30	MSIG香港2025年理赔结案率升至94.7% 连续五年改善
hkma	hkma-cmu-network-jul29	HKMA欢迎CMU扩展国际网络及服务范围
bowtie	bowtie-202607-100m	香港首家虚拟保险公司Bowtie营收突破1亿美元 剑指东南亚
insuranceasia	hk-202607-mainland-scrutiny	监管关注香港保险公司内地资金合规问题
hkma-sfc-ia-mpfa	cyber-mapping-circular-jul29	金管局证监保监积金局联合发布跨行业网络安全测绘通函
insuranceasia	ai-25pct-insurance-jobs-202607	报告：AI 自动化可能替代保险业 25% 的岗位
insuranceasia	picc-202607-re	人保香港积极拓展再保险转入业务
insurancebusinessmag	ia-ai-cohort-new-insurers-jul	保监局AI Cohort新增三家保险公司 中银人寿、国寿海外等加入
insuranceasia	cgs-202607-hk-crackdown	CGS International: 香港保险公司不惧监管收紧 增长前景稳健
spglobal	ratings-2026-consolidated	香港主要保险公司信评一览(2026更新)。
InsuranceAsia	continuum-hk-gm-202607	Continuum 挖角 Howden：Andy Tam 出任香港总经理
insuranceasia	hk-fraud-payments-lag-202607	欺诈成本占营收 5%：香港保险公司支付系统滞后
insuranceasia	howden-hk-ceo-20260701	Howden 香港换帅：Alaric Lee 接任 CEO
hkma	hkma-quantum-whitepaper-jul27	HKMA发布量子准备白皮书及指数 推动银行业量子时代转型
investhk-cies	cies-2year-20260727	新资本投资者入境计划两周年：3,166宗申请、预计引资950亿港元。
prudential	prudential-usd500k-legacy-202607	保诚推出 50 万美元级遗产传承产品，瞄准超高净值客群
sfc	sfc-xingzheng-680-202607	兴证国际资管被罚 680 万港元：涉泰禾人寿关联交易链条
mpfa	mpfa-guidelines-2026-07	积金局 2026 年 7 月修订五套强积金指引：预设投资策略/权益转移更新
datong	datong-broker-benchmark-2026	大童保险服务：1100 万托管保单 + 好赔 27.6 亿，中介服务化标杆
insuranceasia	apac-insurers-emergedebt-202607	亚太保险公司转向新兴市场债券寻求收益
insuranceasia	sunlife-privatewealth-202607	永明推出私人财富平台，切入高净值综合服务
manulife	manulife-asian-care-survey-2026	宏利2026亚洲关怀调查：84%港人重视晚年独立自主
event	aif-2026-save-the-date	日程：Asian Insurance Forum 2026（11 月 13 日 · 保监局主办语境）。
insurancebusinessmag	hk-premiums-q1-2026-jul25	香港保险Q1总保费2916亿港元同比增32.3% 分红业务领涨
insurancebusinessmag	insbus-202607-hk-growth	Insurance Business深度分析：Q1毛保费2916亿+32% 跨境数据连5季缺失。
insuranceasia	ia-public-disclosure-2026	公开披露规则推进：获授权保险人公众披露要求（2026 落地语境）。
insurancebusinessmag	ia-q1-2026-stats	2026年Q1临时统计：长期业务新造保费约1411亿港元，同比约+51.1%。
hkma	hkma-complaints-20260724	金管局《投诉观察》第28期发布（2026-07-24）。
aia	aia-q1-market-leader-jul24	友邦香港2026年Q1勇夺7个市场第一 继续领跑
prudential	prudential-health-summit-2026	保诚保险举办2026健康论坛 聚焦优化患者医疗体验
ziyu	ziyu-ceo-letter-20260724	资遇经纪 CEO 年度公开信：信任，是时间留下的凭证
ia	q1-2026-channel-hsbc-2658	2026 Q1 渠道格局：银保占 42%，汇丰人寿市占 26.58% 居首
boclife	boclife-2026q1-11089	中银人寿 2026 Q1 新造标准保费 110.89 亿 +26%：养老金融深化
ambest	global-big4-broker-benchmark-2026	全球保险经纪 20 强：Marsh 269.8 亿美元领跑，中国机构集体缺席
reuters	allianz-hsbc-singapore-jul24	安联21亿美元收购汇丰新加坡寿险 亚洲版图再扩张
mof-sta	offshore-trust-tax-20260724	财政部/税务总局发布离岸信托个税新规：设立即征税、存续即穿透、退出即清算。
axa	axa-menopause-survey-jul23	AXA安盛调查：香港在职女性更年期认知严重不足
sunlife	sunlife-ride-to-shine-jul22	Sun Life永明启动「善德永明耀香港」智能单车创举
nia	nia-exit-entry-20260722	国务院发布出境入境管理新规：9 月 15 日起施行，大湾区刷脸通关常态化
goosehead	goosehead-broker-benchmark-2026	Goosehead 2026 Q2：美国独立经纪 210 万保单，营收 1.13 亿美元 +21%
juliusbaer	julius-baer-record-2026	Julius Baer 创纪录：AUM 5470 亿瑞郎，2026 H1 净利 +128%
generali	generali-go-green-2026	忠意保险推 Go Green 计划：绿色建筑认证企业保费折扣最高 15%
china-life	clio-shengyi-annuity-202607	国寿海外推「一生守护·臻颐」延期年金：瞄准港人北上养老
yahoofinance	taiping-h1-2026-profit	中国太平 2026 H1 业绩预增：归母净利 +85%~95% 至 125-132 亿港元
safe	safe-qdii-20260717	外管局：新一轮 QDII 额度即将发放，跨境投融资便利化加码
hkma-sfc-ia-mpfa	genai-sandbox-plus-jul17	GenA.I.沙盒++正式扩展至保险等多元金融领域
aia	aia-20260716-hyrox	友邦香港与HYROX香港宣布策略合作推动健康生活。
ia	ia-20260716-ashk-ifoa	保监局刘中健：香港精算学会与英国精算师协会联合会议主题演讲（2026-07-16）。
yahoofinance	mpf-q2-2026-inflow	强积金 Q2 净流入 120.5 亿：美国股票基金吸金 95 亿，成员转向 AI 浪潮
antbao	antbao-broker-benchmark-2026	蚂蚁保：90+ 保司、服务 6 亿保民、2025 赔付 178.7 亿的互联网中介
insuranceasia	ia-sales-rules-tightening-jul15	保监局收紧销售规则 高管直接对全流程合规负责
asiainsurancereview	ia-20260715-sales-practices	行业观察：保监局强化销售行为监管（误导/适当性/录音录像相关叙事升温）。
insuranceasia	creditsights-2026-2h	CreditSights展望：2026下半年中港跨境资金规则或进一步收紧。
henley	hk-international-schools-2026	香港国际学校需求激增：家办家庭推动学位竞争白热化
axa	axa-redomicile-hk-2026	AXA 安盛宣布策略性迁册回港：首批迁册保险公司之一
swissre	picc-hk-ambest-2026	AM Best 上调人保香港评级至 A：2025 香港非寿险第 8、市占 3.8%
ia	ia-licence-20260630	持牌中介统计（截至2026-06-30）：个人持牌约12.25万，经纪公司810家。
china-life	clio-fr-100-2026	国寿海外分红实现率：储蓄全线终期红利 100%，危疾周年红利最高 113%
hkfi	generali-fr-100-2026	忠意人寿分红实现率：多数年份 100%+，2025 终期红利最高 105%
arxiv	agentic-ai-insurance-jul14	学术前沿：Agentic AI时代的保险承保、定价与端到端自动化框架
fintechly	insurtech-funding-q1-2026	全球InsurTech融资回暖：Q1融资16.3亿美元，资金流向AI基础设施
cntaiping	taiping-yueche-nanxia-2026	太平财险「粤车南下」首单承保：2026 前 5 月跨境车 2.2 万辆 +16.7%
ia	ia-20260712-speech	保监局刘中健演辞：以前瞻性监管及执法维护市场健康发展。
ia	ia-licence-conditions-brokers-202606	保监局对两间经纪公司施加续牌条件：暂停接收转介客户
hkma	ia-20260710-illustration	保监局就分红保单演示回报率上限发出释义文件。
tiger21	tiger21-uhnw-allocation-2026	TIGER 21 报告：超高净值家庭 28% 资产配置于私募股权
nfra	nfra-cyber-consult-20260710	金融监管总局就《银行业保险业网络安全管理办法》公开征求意见
hsbc	hsbc-fr-newold-divide-2026	汇丰分红实现率「新老分化」：新产品 110%+，老产品 72%-78%
ia	ia-20260710-illustration-review	演示利率上限检讨机制：保监局发布释义说明（2026-07-10）。
aia	aia-mdrt-seven-global-202607	友邦香港百万圆桌会员勇夺七项全球第一
fstb	fstb-fo-tax-bill-20260708	香港家办税惠修订草案提交立法会审议：扩免税范围、纳数字资产、取消5%门槛。
govhk	fstb-20260708-captive	财库局欢迎保监局批准两间新专属自保保险公司。
ia	ia-20260708-captive	两间新专属自保公司获授权，巩固风险管理中心策略（2026-07-08）。
swissre	swissre-202607-wis	Swiss Re sigma报告：2026全球保险成为碎片化世界中的减震器。
swissre	swissre-sigma-2026-world	瑞再 sigma 2026：全球保费增速放缓至 1.3%，寿险 2.3% 仍稳健
ia	ia-captive-9th-sf-202607	顺丰保险获授权：香港专属自保公司增至 9 间，首家中资民企
sfc	sfc-awm-42trillion-2026	香港 2025 年管理资产总值 42.2 万亿港元：+20%，净流入 2.1 万亿 +193%
nfra	nfra-shanghai-reins-20260707	金融监管总局×上海市政府：加快上海国际再保险中心建设
nfra	nfra-shanghai-reins-center-jul07	金融监管总局发布加快上海国际再保险中心建设措施
investhk	investhk-fo-2p0-20260706	投推署方展光专访：香港家办突破3,384家，家办2.0构筑全球财富新枢纽。
pcpd-dpo	pcpd-ai-sandbox-jul06	香港私隐公署与数字办联合推出「保障个人资料AI沙盒」
aia	aia-health-campus-202607	「AIA 健康校园挑战赛 2025/26」公布香港区得奖学校
ia	ia-20260703-rfyc	指定无风险收益率曲线（截至2026-06-30）发布（2026-07-03）。
manulife	manulife-fr-2026-overview	宏利公布 2026 版分红实现率概览：多款旗舰计划持续达成或超预期
rga	rga-2026-hk-market	RGA分析：2026年香港保险市场机遇与挑战——跨境需求+监管转型+AI。
港交所 HKEX	hkex-ipo-pipeline-2026h1	港交所 2026 H1 IPO 回顾：内地企业赴港上市持续活跃
fwd	fwd-gbassure-2026	富卫推「大湾区智通行」门诊计划：线上投保的湾区医疗方案
ia	ia-crossref-20260701	银行与保险跨行业背景查核安排：2026年7月1日起分阶段实施。
prudential	prudential-plan-rename-aug24	保诚香港8月24日起更新部分计划名称 储蓄型产品名加入「保險」字样
swissre	ia-20260630-swissre-sigma	瑞再研究院sigma报告：全球保险在碎片化世界中扮演「减震器」，AI投资颠覆行业格局。
allianz	ia-20260630-allianz-report	安联全球保险报告2026：碎片化世界中的保险未来 — 亚洲仍是增长引擎。
govhk	hk-property-cires-2026	CIES 推动香港豪宅市场：3,000 万以上住宅成交上升
prudential	pru-union-oncology-202606	保诚与仁安医院深化合作：仁安肿瘤中心扩展肿瘤医疗网络
sunlife	ia-20260629-sunlife-notes	永明金融宣布10亿美元有限追索资本票据利率重置。
govhk	ia-20260629-hkma-bulletin	金管局发布2026年第二期季报：涵盖银保监管协作与运营韧性。
prudential	pru-premierflex-2026	保诚推高端医疗自由行：7,000 万终身保额 + 内地 14,000 间医院网络
fsdc	ia-20260628-fsdc-talent	金发局发布保险业人才培育报告：呼吁建设新一代保险专才。
morganstanley	ia-20260626-morganstanley	摩根士丹利2026年6月股市评论：关注亚洲保险板块防御价值。
pimco	ia-20260626-pimco-asia	PIMCO 2026年Q2亚洲交易室更新：亚太分化加剧，看好保险资产配置价值。
taiping	taiping-202606-rating	中国太平再保险连续17年获惠誉A评级。
